Date,Flow,Hour,Line
2020-07-10,-221.64825,5,CA-1
2020-07-10,191.699,5,CB-1
2020-07-10,35.427601,6,A1
2020-07-10,-31.253805,6,A10
2020-07-10,28.805885,6,A11
2020-07-10,-31.966239,6,A12-1
2020-07-10,-16.702219,6,A13-2
2020-07-10,-42.764365,6,A14
2020-07-10,-23.833998,6,A15
2020-07-10,-72.74726,6,A16
2020-07-10,-53.816893,6,A17
2020-07-10,52.900044,6,A18
2020-07-10,-168.41167,6,A19
2020-07-10,-23.142409,6,A2
2020-07-10,19.771901,6,A20
2020-07-10,-97.422791,6,A21
2020-07-10,-119.52945,6,A22
2020-07-10,-256.30654,6,A23
2020-07-10,175.72981,6,A24
2020-07-10,-209.52615,6,A25-1
2020-07-10,-209.52615,6,A25-2
2020-07-10,161.70046,6,A26
2020-07-10,-388.24612,6,A27
2020-07-10,324.36275,6,A28
2020-07-10,-126.23944,6,A29
2020-07-10,41.907516,6,A3
2020-07-10,-262.00668,6,A30
2020-07-10,-53.555262,6,A31-1
2020-07-10,-53.555262,6,A31-2
2020-07-10,121.17887,6,A32-1
2020-07-10,121.17887,6,A32-2
2020-07-10,92.182627,6,A33-1
2020-07-10,92.182627,6,A33-2
2020-07-10,-358.10165,6,A34
2020-07-10,21.175284,6,A4
2020-07-10,30.363216,6,A5
2020-07-10,57.006109,6,A6
2020-07-10,-161.70046,6,A7
2020-07-10,-12.351624,6,A8
2020-07-10,9.739806,6,A9
2020-07-10,84.560823,6,AB1
2020-07-10,72.147148,6,AB2
2020-07-10,169.41302,6,AB3
2020-07-10,11.106513,6,B1
2020-07-10,-43.183508,6,B10
2020-07-10,-57.541241,6,B11
2020-07-10,-77.258374,6,B12-1
2020-07-10,-58.999285,6,B13-2
2020-07-10,-53.778002,6,B14
2020-07-10,-75.268738,6,B15
2020-07-10,-89.64407,6,B16
2020-07-10,-111.13481,6,B17
2020-07-10,-50.763248,6,B18
2020-07-10,-92.658825,6,B19
2020-07-10,-39.823824,6,B2
2020-07-10,-13.15446,6,B20
2020-07-10,-173.24908,6,B21
2020-07-10,-185.90514,6,B22
2020-07-10,-181.96283,6,B23
2020-07-10,15.822206,6,B24
2020-07-10,-69.486335,6,B25-1
2020-07-10,-69.486335,6,B25-2
2020-07-10,93.923025,6,B26
2020-07-10,-136.25048,6,B27
2020-07-10,-13.92314,6,B28
2020-07-10,68.943436,6,B29
2020-07-10,23.851678,6,B3
2020-07-10,-35.780899,6,B30
2020-07-10,-42.173215,6,B31-1
2020-07-10,-42.173215,6,B31-2
2020-07-10,-48.621429,6,B32-1
2020-07-10,-48.621429,6,B32-2
2020-07-10,-78.082544,6,B33-1
2020-07-10,-78.082544,6,B33-2
2020-07-10,-53.319101,6,B34
2020-07-10,7.033148,6,B4
2020-07-10,19.421363,6,B5
2020-07-10,55.800638,6,B6
2020-07-10,-93.923025,6,B7
2020-07-10,-27.031267,6,B8
2020-07-10,-8.831747,6,B9
2020-07-10,17.997673,6,C1
2020-07-10,-52.293302,6,C10
2020-07-10,-46.889745,6,C11
2020-07-10,-65.834251,6,C12-1
2020-07-10,-45.200666,6,C13-2
2020-07-10,-61.817243,6,C14
2020-07-10,-59.249733,6,C15
2020-07-10,-102.3475,6,C16
2020-07-10,-99.779989,6,C17
2020-07-10,-17.978461,6,C18
2020-07-10,-146.18628,6,C19
2020-07-10,-53.65827,6,C2
2020-07-10,-22.471604,6,C20
2020-07-10,-136.55812,6,C21
2020-07-10,-139.85633,6,C22
2020-07-10,-218.95917,6,C23
2020-07-10,-21.816385,6,C24
2020-07-10,-118.93767,6,C25-1
2020-07-10,-118.93767,6,C25-2
2020-07-10,140.77933,6,C26
2020-07-10,-376.6744,6,C27
2020-07-10,160.38706,6,C28
2020-07-10,341.75941,6,C29
2020-07-10,-4.852143,6,C3
2020-07-10,-24.983811,6,C30
2020-07-10,-17.237093,6,C31-1
2020-07-10,-17.237093,6,C31-2
2020-07-10,46.245353,6,C32-1
2020-07-10,46.245353,6,C32-2
2020-07-10,22.237803,6,C33-1
2020-07-10,22.237803,6,C33-2
2020-07-10,-102.34952,6,C34
2020-07-10,-231.93884,6,C35
2020-07-10,-17.11151,6,C4
2020-07-10,-1.277259,6,C5
2020-07-10,39.783158,6,C6
2020-07-10,-140.77933,6,C7
2020-07-10,-44.870239,6,C8
2020-07-10,-31.485518,6,C9
2020-07-10,-231.93884,6,CA-1
2020-07-10,251.31931,6,CB-1
2020-07-10,23.940823,7,A1
2020-07-10,-36.373172,7,A10
2020-07-10,32.221895,7,A11
2020-07-10,-32.480684,7,A12-1
2020-07-10,-16.643535,7,A13-2
2020-07-10,-47.919299,7,A14
2020-07-10,-31.691968,7,A15
2020-07-10,-79.027985,7,A16
2020-07-10,-62.800655,7,A17
2020-07-10,34.291251,7,A18
2020-07-10,-161.23854,7,A19
2020-07-10,-25.31045,7,A2
2020-07-10,5.893422,7,A20
2020-07-10,-100.38605,7,A21
2020-07-10,-115.17621,7,A22
2020-07-10,-253.52594,7,A23
2020-07-10,162.8481,7,A24
2020-07-10,-207.59535,7,A25-1
2020-07-10,-207.59535,7,A25-2
2020-07-10,163.54308,7,A26
2020-07-10,-385.36662,7,A27
2020-07-10,309.11796,7,A28
2020-07-10,-113.90772,7,A29
